RawBb,Ticker,Weight%,Size,Position,On Day,Zone,From,To
ES1 Index,ESM8,-37.5,0,-0.375,4/23/2018,US,15:0,16:0
USDEUR Curncy,USD.EUR,-25,-0.125,-0.25,4/23/2018,UK,15:30,16:30
CL1 Comdty,CLM8,-7.5,0,-0.075,4/23/2018,US,13:30,14:30
GC1 Comdty,GCM8,-12.5,0,-0.125,4/23/2018,US,13:0,14:0
USDCAD Curncy,USD.CAD,-12.5,-0.125,-0.125,4/23/2018,US,15:0,16:0
USDGBP Curncy,USD.GBP,-12.5,-0.125,-0.125,4/23/2018,UK,15:30,16:30
VG1 Index,FESXM8,12.5,0,0.125,4/23/2018,UK,15:30,16:30
CL1 Comdty,CLK8,0,0,0,4/23/2018,US,13:30,14:30
